Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Bánh ăn dặm Wakado cá cơm ( 104),Sản phẩm thường,Em bé,4987244183682,4987244183682,Có,42000,47000,47000,65000,47000,47000,hộp,42000,0,42000,0,42000,0,42000,0,42000,0
"Bánh ăn dặm Wakado dâu , sữa ( 106)",Sản phẩm thường,Em bé,4987244183705,4987244183705,Có,42000,47000,47000,65000,47000,47000,hộp,42000,0,42000,0,42000,0,42000,0,42000,0
Bánh gạo Wakado rong biển ( 107),Sản phẩm thường,Em bé,4987244183712,4987244183712,Có,43000,47000,47000,20000,47000,48000,hộp,43000,0,43000,0,43000,0,43000,0,43000,0
Bánh Wakado DHA rau củ ,Sản phẩm thường,Em bé,4987244183743,4987244183743,Có,22000,30000,30000,20000,30000,30000,Hộp,22000,0,22000,0,22000,0,22000,0,22000,0
Bánh wakado bí đỏ cà rốt (I012),Sản phẩm thường,Em bé,4987244183767,4987244183767,Có,43000,48000,48000,65000,48000,48000,Hộp,43000,0,43000,0,43000,0,43000,0,43000,0
3903-Trà lúa mạch Wakodo 1M,Sản phẩm thường,Em bé,4987244183903,4987244183903,Có,50000,55000,52000,70000,55000,57000,Hộp(24),50000,23,50000,28,50000,1,50000,0,50000,0
3910-Trà xanh Wakodo cho bé 1M,Sản phẩm thường,Em bé,4987244183910,4987244183910,Có,50000,55000,52000,70000,55000,57000,hộp(24),50000,10,50000,16,50000,31,50000,0,50000,0
Nước điện giải Wakado ,Sản phẩm thường,Em bé,4987244183927,4987244183927,Có,50000,52000,52000,70000,52000,55000,Hộp (24),50000,10,50000,15,50000,44,50000,0,50000,0
Trà táo Wakado 5 tháng,Sản phẩm thường,Em bé,4987244183934,4987244183934,Có,50000,52000,52000,70000,52000,55000,hộp,50000,0,50000,0,50000,0,50000,0,50000,0
3941-Trà táo đào Wakodo 5 tháng ,Sản phẩm thường,Em bé,4987244183941,4987244183941,Có,50000,52000,52000,70000,52000,55000,Hộp(24),50000,0,50000,0,50000,0,50000,0,50000,0
Viên rau cà rốt Wakoko 5 tháng,Sản phẩm thường,Em bé,4987244185181,4987244185181,Có,30000,33000,32000,45000,33000,35000,bịch,30000,0,30000,0,30000,0,30000,0,30000,0
Bột hộp Wakado cá + gà + rau củ 7M,Sản phẩm thường,Em bé,4987244185198,4987244185198,Có,51000,55000,55000,70000,55000,57000,Hộp,51000,0,51000,0,51000,0,51000,0,51000,0
"Cháo Wakado cá , rau củ",Sản phẩm thường,Em bé,4987244185204,4987244185204,Có,51000,55000,55000,65000,55000,57000,Hộp,51000,0,51000,0,51000,0,51000,0,51000,0
Bột hộp Wakodo ăn dặm bắp gà cá 7M,Sản phẩm thường,Em bé,4987244185211,4987244185211,Có,52000,52000,52000,30000,52000,55000,Hộp,52000,0,52000,0,52000,0,52000,0,52000,0
Mì somen Wakodo cho bé 5 tháng,Sản phẩm thường,Em bé,4987244185235,4987244185235,Có,55000,62000,60000,90000,62000,65000,Gói(12),55000,0,55000,0,55000,0,55000,0,55000,0
Mì somen Wakodo cho bé 7 tháng,Sản phẩm thường,Em bé,4987244185242,4987244185242,Có,55000,62000,60000,90000,62000,65000,Gói (12),55000,0,55000,0,55000,0,55000,0,55000,0
Mì somen Wakodo cho bé 9 tháng,Sản phẩm thường,Em bé,4987244185259,4987244185259,Có,52000,55000,55000,90000,55000,55000,Gói (12),52000,0,52000,0,52000,0,52000,0,52000,0
2592-Bột ăn dặm gạo cho bé 5 tháng,Sản phẩm thường,Em bé,4987244192592,4987244192592,Có,48000,53000,51000,70000,53000,55000,Hộp(24),48000,44,48000,23,48000,24,48000,0,48000,0
Bột gạo wakodo rau củ cho bé 5M,Sản phẩm thường,Em bé,4987244192608,4987244192608,Có,48000,53000,51000,70000,53000,55000,Hộp(24),48000,14,48000,24,48000,23,48000,0,48000,0
Bột ăn dặm Wakodo 3 vị rau 5M,Sản phẩm thường,Em bé,4987244192615,4987244192615,Có,48000,53000,51000,70000,53000,55000,Hộp (24),48000,0,48000,5,48000,17,48000,0,48000,0
"Bột  wakodo 5M Mix cá ,rau củ, daisy ",Sản phẩm thường,Em bé,4987244192677,4987244192677,Có,48000,53000,51000,70000,53000,55000,Hộp(24),48000,4,48000,13,48000,0,48000,0,48000,0
4084-Nước ép táo Wakodo cho bé 7 tháng 3x125ml,Sản phẩm thường,Em bé,4987244194084,4987244194084,Có,55000,62000,60000,60000,62000,65000,block(6),55000,26,55000,6,55000,0,55000,0,55000,0
4091-Nước ép trái cây Wakodo cho bé 7 tháng 3x125ml,Sản phẩm thường,Em bé,4987244194091,4987244194091,Có,55000,62000,60000,60000,62000,65000,block(6),55000,6,55000,0,55000,0,55000,0,55000,0
Trà trái cây cho bé 5 tháng Wakodo 35g,Sản phẩm thường,Em bé,4987244194152,4987244194152,Có,50000,55000,52000,70000,55000,57000,Hộp(24),50000,22,50000,14,50000,12,50000,0,50000,0
4510-Bún Wakado cho bé 5 tháng 130g,Sản phẩm thường,Em bé,4987244194510,4987244194510,Có,62000,68000,65000,95000,68000,70000,Gói(12),62000,0,62000,4,62000,1,62000,0,62000,0
4527-Mì Udon Wakodo cho bé 7 tháng 130g,Sản phẩm thường,Em bé,4987244194527,4987244194527,Có,60000,68000,65000,95000,68000,70000,Gói(12),60000,0,60000,0,60000,0,60000,0,60000,0
4534-Nui xoắn Wakodo cho bé 9 tháng 130g,Sản phẩm thường,Em bé,4987244194534,4987244194534,Có,60000,68000,65000,95000,68000,70000,Gói(12),60000,0,60000,0,60000,0,60000,0,60000,0
4619-Nước sữa chua cho bé 1 tuổi trở lên 3x125ml ,Sản phẩm thường,Em bé,4987244194619,4987244194619,Có,52000,62000,60000,80000,62000,65000,block(6),52000,17,52000,13,52000,17,52000,0,52000,0
"4718-Nước ép Táo, rau củ Wakodo cho bé 7tháng 3x125ml",Sản phẩm thường,Em bé,4987244194718,4987244194718,Có,55000,62000,60000,80000,62000,65000,block(6),55000,35,55000,13,55000,8,55000,0,55000,0
Phấn rôm Wakado,Sản phẩm thường,Em bé,4987244205032,4987244205032,Có,80000,90000,90000,120000,90000,90000,Hộp,80000,0,80000,0,80000,0,80000,0,80000,0
4263-Vaseline cho bé 100g,Sản phẩm thường,Em bé,4987286414263,4987286414263,Có,110000,120000,120000,180000,120000,125000,Tuýp,110000,0,110000,0,110000,0,110000,0,110000,0
7723-Thuốc ho Kids 40 viên,Sản phẩm thường,Em bé,4987306047723,4987306047723,Có,150000,160000,155000,250000,160000,165000,Hộp,150000,0,150000,0,150000,0,150000,0,150000,0
Siro ho Kids tổng hợp,Sản phẩm thường,Em bé,4987306047761,4987306047761,Có,145000,150000,145000,200000,150000,155000,chai(30),145000,35,145000,35,145000,11,145000,0,145000,0
kem giữ ấm cho bé,Sản phẩm thường,Em bé,4987306055827,4987306055827,Có,120000,150000,150000,200000,150000,1500,tuýp,120000,0,120000,0,120000,0,120000,0,120000,0
6589-Kem chống hăm cho bé Sato 30g,Sản phẩm thường,Em bé,4987316026589,4987316026589,Có,85000,95000,90000,150000,95000,98000,Tuýp,85000,15,85000,8,85000,5,85000,0,85000,0
Súp Glico 1T khoai tây thịt bò,Sản phẩm thường,Em bé,4987386406021,4987386406021,Có,10000,15000,15000,30000,15000,20000,Hộp,10000,0,10000,0,10000,0,10000,0,10000,0
Súp Glico 1T cá hồi rau củ,Sản phẩm thường,Em bé,4987386414026,4987386414026,Có,10000,15000,15000,30000,15000,20000,Hộp(30),10000,0,10000,0,10000,0,10000,0,10000,0
Súp Glico 1T trứng cá,Sản phẩm thường,Em bé,4987386432020,4987386432020,Có,10000,15000,15000,30000,15000,20000,Hộp(30),10000,0,10000,0,10000,0,10000,0,10000,0
Bôi muỗi cắn Muhi sơ sinh ,Sản phẩm thường,Em bé,4987426001056,4987426001056,Có,135000,145000,145000,200000,145000,150000,tuýp ,135000,0,135000,0,135000,0,135000,0,135000,0
1803-Lăn muỗi Muhi bé sơ sinh,Sản phẩm thường,Em bé,4987426001803,4987426001803,Có,148000,158000,155000,220000,158000,160000,chai,148000,8,148000,10,148000,9,148000,0,148000,0
Lăn muỗi Muhi chim cánh cụt,Sản phẩm thường,Em bé,4987426002091,4987426002091,Có,95000,102000,100000,150000,102000,105000,chai (120),95000,24,95000,9,95000,8,95000,0,95000,0
2206-Siro Muhi đỏ cho bé ho cảm vị dâu,Sản phẩm thường,Em bé,4987426002206,4987426002206,Có,130000,140000,135000,200000,140000,145000,Hộp(5*10),130000,112,130000,26,130000,20,130000,0,130000,0
2213-Siro Muhi hồng cho bé ho sốt vị đào,Sản phẩm thường,Em bé,4987426002213,4987426002213,Có,130000,140000,135000,200000,140000,145000,Hộp(5*10),130000,26,130000,10,130000,20,130000,0,130000,0
2237-Siro Muhi xanh lá cho bé ho sổ mũi,Sản phẩm thường,Em bé,4987426002237,4987426002237,Có,130000,140000,135000,200000,140000,145000,Hộp(5*10),130000,32,130000,10,130000,4,130000,0,130000,0
2596-Siro Muhi xanh dương cho bé ho có đàm,Sản phẩm thường,Em bé,4987426002596,4987426002596,Có,133000,140000,135000,200000,140000,145000,Hộp(5*10),133000,30,133000,8,133000,18,133000,0,133000,0
Sữa Bean Stalk số 0 hộp nhỏ,Sản phẩm thường,Em bé,4987493000310,4987493000310,Có,10000,90000,90000,100000,90000,90000,hộp,10000,0,10000,0,10000,0,10000,0,10000,0
Sữa Bean Stalk 0-1 tuổi,Sản phẩm thường,Em bé,4987493000389,4987493000389,Có,560000,565000,565000,570000,565000,560000,hộp,560000,0,560000,0,560000,0,560000,0,560000,0
1324-Sữa Bean Stalk 9T-3 tuổi,Sản phẩm thường,Em bé,4987493001324,4987493001324,Có,460000,465000,465000,520000,465000,470000,hộp,460000,0,460000,0,460000,0,460000,0,460000,0
Bánh gạo  Bean Stalk  6 tháng,Sản phẩm thường,Em bé,4987493005117,4987493005117,Có,46000,52000,52000,65000,52000,50000,Hộp (24),46000,0,46000,0,46000,0,46000,0,46000,0
Bánh Bean Stalk rau củ 6 tháng,Sản phẩm thường,Em bé,4987493005124,4987493005124,Có,46000,52000,52000,65000,52000,52000,Hôp (24),46000,0,46000,0,46000,0,46000,0,46000,0
Bánh ăn dặm BeanStalk 6 tháng vị rong biển,Sản phẩm thường,Em bé,4987493005131,4987493005131,Có,46000,50000,50000,65000,50000,52000,hộp (24),46000,0,46000,0,46000,0,46000,0,46000,0
Bánh quy ăn dặm Bean Stalk 7 tháng ,Sản phẩm thường,Em bé,4987493005162,4987493005162,Có,46000,52000,52000,65000,52000,55000,Hộp (24),46000,0,46000,0,46000,0,46000,0,46000,0
Bánh men bi  Bean Stalk 7 tháng ,Sản phẩm thường,Em bé,4987493005179,4987493005179,Có,46000,52000,52000,65000,52000,55000,Hộp (24),46000,0,46000,0,46000,0,46000,0,46000,0
Bánh Bean Stalk gạo +  rau củ 6 tháng,Sản phẩm thường,Em bé,4987493005193,4987493005193,Có,46000,52000,52000,65000,52000,52000,Hộp (24),46000,0,46000,0,46000,0,46000,0,46000,0
8357-Sữa tắm trị rôm sảy Skina Babe,Sản phẩm thường,Em bé,4987767618357,4987767618357,Có,340000,345000,340000,450000,345000,350000,Chai(10),340000,0,340000,0,340000,0,340000,0,340000,0
0037-Siro Trị ho chữ A 100ml,Sản phẩm thường,Em bé,4987910710037,4987910710037,Có,318000,335000,335000,380000,335000,340000,Hộp,318000,0,318000,0,318000,0,318000,0,318000,0
1701-Set 3 khăn cho bé Disney 33x33cm,Sản phẩm thường,Em bé,4992272841701,4992272841701,Có,240000,270000,260000,350000,270000,275000,cái,240000,0,240000,0,240000,0,240000,0,240000,0
Ghế ăn trẻ em Joie Mimzy Snacker Petite City,Sản phẩm thường,Em bé,5056080600628,5056080600628,Có,0,800000,750000,1200,800000,820000,cái,0,0,0,0,0,0,0,0,0,0
Áo Gió Bé Uni,Sản phẩm thường,Em bé,580111,580111,Có,400000,,,500000,,,Cái,400000,0,400000,0,400000,0,400000,0,400000,0
Bột hộp Wakodo 5M cháo trắng,Sản phẩm thường,Em bé,70354,70354,Có,40000,52000,52000,50000,52000,48000,hộp,40000,0,40000,0,40000,0,40000,0,40000,0
Phô mai QBB,Sản phẩm thường,Em bé,789,789,Có,20000,,,25000,,,cây,20000,0,20000,0,20000,0,20000,0,20000,0
Trứng Kinder Joy bé gái,Sản phẩm thường,Em bé,80768258,80768258,Có,16500,18000,17000,25000,18000,19000,cái,16500,0,16500,0,16500,1,16500,0,16500,0
Trứng Kinder Joy bé trai,Sản phẩm thường,Em bé,80974482,80974482,Có,16500,18000,17000,25000,18000,19000,cái,16500,0,16500,0,16500,0,16500,0,16500,0
"Sữa tắm Gohnson""s",Sản phẩm thường,Em bé,9556006014042,9556006014042,Có,90000,100000,100000,190000,100000,100000,chai,90000,0,90000,0,90000,0,90000,0,90000,0
Cháo Wakodo cho bé 12 tháng,Sản phẩm thường,Em bé,c12,c12,Có,30000,35000,34000,45000,35000,36000,Gói,30000,106,30000,1,30000,50,30000,0,30000,0
Cháo Wakodo cho bé 7 tháng ,Sản phẩm thường,Em bé,c7,c7,Có,30000,35000,34000,45000,35000,36000,Gói,30000,136,30000,0,30000,17,30000,0,30000,0
Cháo Wakodo cho bé 9 tháng,Sản phẩm thường,Em bé,c9,c9,Có,30000,35000,34000,45000,35000,36000,gói,30000,127,30000,1,30000,25,30000,0,30000,0
