Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
1322-Son Shu Uemura BG 915,Sản phẩm thường,SKII-Dior-Shu-Son,4935421681322,4935421681322,Có,0,610000,600000,750000,610000,620000,cây,0,2,0,2,0,1,0,0,0,0
Son Shu Uemura 587,Sản phẩm thường,SKII-Dior-Shu-Son,4935421681346,4935421681346,Có,576580,610000,600000,750000,610000,620000,Cái,576580,0,576580,0,576580,0,576580,0,576580,0
1353-Son Shu Uemura M OR 585,Sản phẩm thường,SKII-Dior-Shu-Son,4935421681353,4935421681353,Có,517800,610000,600000,750000,610000,620000,cái,517800,0,517800,0,517800,0,517800,0,517800,0
Son Shu Uemura M RD 163,Sản phẩm thường,SKII-Dior-Shu-Son,4935421690652,4935421690652,Có,571760,590000,590000,750000,590000,610000,Cây,571760,0,571760,0,571760,0,571760,0,571760,0
Son Shu Uemura M OR 580,Sản phẩm thường,SKII-Dior-Shu-Son,4935421690676,4935421690676,Có,576588,610000,600000,750000,610000,620000,Cái,576588,0,576588,1,576588,0,576588,0,576588,0
0850-Son Shu Uemura OR 565,Sản phẩm thường,SKII-Dior-Shu-Son,4935421690850,4935421690850,Có,517800,560000,560000,750000,560000,580000,cái,517800,5,517800,2,517800,6,517800,0,517800,0
5022-Tẩy trang Shu tím 450ml,Sản phẩm thường,SKII-Dior-Shu-Son,4935421695022,4935421695022,Có,853772,920000,890000,1200,920000,930000,Hộp,853772,0,853772,0,853772,0,853772,0,853772,0
5039-Tẩy trang Shu tím 150ml,Sản phẩm thường,SKII-Dior-Shu-Son,4935421695039,4935421695039,Có,650000,680000,670000,750000,680000,685000,Chai,650000,1,650000,0,650000,0,650000,0,650000,0
Son Shu Uemura LS RD163,Sản phẩm thường,SKII-Dior-Shu-Son,4935421698955,4935421698955,Có,565000,590000,590000,750000,590000,610000,Cây,565000,0,565000,0,565000,0,565000,0,565000,0
2072-Son Shu Uemura AM OR 570,Sản phẩm thường,SKII-Dior-Shu-Son,4935421702072,4935421702072,Có,593540,630000,620000,800000,630000,640000,Cây,593540,0,593540,0,593540,0,593540,0,593540,0
5110-Son Shu Uemura đen LS RD 140,Sản phẩm thường,SKII-Dior-Shu-Son,4935421705110,4935421705110,Có,690000,680000,670000,800000,680000,690000,Cây,690000,2,690000,2,690000,1,690000,0,690000,0
5127-Son Shu Uemura đen LS RD 160,Sản phẩm thường,SKII-Dior-Shu-Son,4935421705127,4935421705127,Có,642000,680000,670000,800000,680000,690000,Cây,642000,2,642000,0,642000,1,642000,0,642000,0
5240-Son Shu Uemura đen M RD 144,Sản phẩm thường,SKII-Dior-Shu-Son,4935421705240,4935421705240,Có,0,680000,670000,800000,680000,690000,Cây,0,1,0,1,0,0,0,0,0,0
5257-Son Shu Uemura đen M RD 156,Sản phẩm thường,SKII-Dior-Shu-Son,4935421705257,4935421705257,Có,596672,640000,630000,800000,640000,650000,Cây,596672,0,596672,0,596672,1,596672,0,596672,0
5264-Son Shu Uemura đen M RD 161,Sản phẩm thường,SKII-Dior-Shu-Son,4935421705264,4935421705264,Có,596672,640000,630000,800000,640000,650000,Cây,596672,0,596672,0,596672,1,596672,0,596672,0
5288-Son Shu Uemura đen M RD 165,Sản phẩm thường,SKII-Dior-Shu-Son,4935421705288,4935421705288,Có,596672,640000,630000,800000,640000,650000,Cây,596672,1,596672,0,596672,2,596672,0,596672,0
5417-Son Shu Uemura đen M PK 354,Sản phẩm thường,SKII-Dior-Shu-Son,4935421705417,4935421705417,Có,0,680000,670000,800000,680000,690000,Cây,0,1,0,2,0,1,0,0,0,0
5431-Son Shu Uemura đen M PK 356,Sản phẩm thường,SKII-Dior-Shu-Son,4935421705431,4935421705431,Có,0,680000,670000,800000,680000,690000,Cây,0,0,0,1,0,1,0,0,0,0
5455-Son Shu Uemura đen M PK 375,Sản phẩm thường,SKII-Dior-Shu-Son,4935421705455,4935421705455,Có,642000,680000,670000,800000,680000,690000,Cây,642000,2,642000,1,642000,1,642000,0,642000,0
5462-Son Shu Uemura đen M PK 376,Sản phẩm thường,SKII-Dior-Shu-Son,4935421705462,4935421705462,Có,642000,680000,670000,800000,680000,690000,Cây,642000,1,642000,0,642000,1,642000,0,642000,0
5509-Son Shu Uemura đen M OR 550,Sản phẩm thường,SKII-Dior-Shu-Son,4935421705509,4935421705509,Có,596672,640000,630000,800000,640000,650000,Cây,596672,6,596672,2,596672,3,596672,0,596672,0
5516-Son Shu Uemura đen M OR 570,Sản phẩm thường,SKII-Dior-Shu-Son,4935421705516,4935421705516,Có,603000,640000,630000,800000,640000,650000,cây,603000,0,603000,0,603000,0,603000,0,603000,0
5721-Son Shu Uemura đen RD 160,Sản phẩm thường,SKII-Dior-Shu-Son,4935421705721,4935421705721,Có,642000,680000,670000,800000,680000,690000,Cây,642000,1,642000,1,642000,1,642000,0,642000,0
5776-Son Shu Uemura đen RD 170,Sản phẩm thường,SKII-Dior-Shu-Son,4935421705776,4935421705776,Có,642000,680000,670000,800000,680000,690000,Cây,642000,1,642000,1,642000,1,642000,0,642000,0
5820-Son Shu Uemura đen WN 256,Sản phẩm thường,SKII-Dior-Shu-Son,4935421705820,4935421705820,Có,642000,680000,670000,800000,680000,690000,Cây,642000,1,642000,1,642000,0,642000,0,642000,0
5912-Son Shu Uemura đen PK 363,Sản phẩm thường,SKII-Dior-Shu-Son,4935421705912,4935421705912,Có,0,680000,670000,800000,680000,690000,Cây,0,0,0,0,0,0,0,0,0,0
5929-Son Shu Uemura đen PK 365,Sản phẩm thường,SKII-Dior-Shu-Son,4935421705929,4935421705929,Có,0,680000,670000,800000,680000,690000,Cây,0,0,0,1,0,1,0,0,0,0
5943-Son Shu Uemura đen PK 369,Sản phẩm thường,SKII-Dior-Shu-Son,4935421705943,4935421705943,Có,642000,680000,670000,800000,680000,690000,Cây,642000,1,642000,0,642000,1,642000,0,642000,0
5981-Son Shu Uemura đen CR 330,Sản phẩm thường,SKII-Dior-Shu-Son,4935421705981,4935421705981,Có,642000,680000,670000,800000,680000,690000,Cây,642000,2,642000,0,642000,1,642000,0,642000,0
6025-Son Shu Uemura đen OR 560,Sản phẩm thường,SKII-Dior-Shu-Son,4935421706025,4935421706025,Có,642000,680000,670000,800000,680000,690000,Cây,642000,1,642000,2,642000,2,642000,0,642000,0
1981-Chì kẻ mày Shu Acorn 06,Sản phẩm thường,SKII-Dior-Shu-Son,4935421721981,4935421721981,Có,432000,,,550000,,,cây,432000,3,432000,2,432000,0,432000,0,432000,0
Nước hoa hồng cân bằng 505 Noevir 150ml,Sản phẩm thường,SKII-Dior-Shu-Son,4945022014641,4945022014641,Có,2100,2250,2250,2500,2250,2270,Chai,2100,0,2100,0,2100,0,2100,0,2100,0
Sữa dưỡng 505 Noevir 100ml,Sản phẩm thường,SKII-Dior-Shu-Son,4945022014658,4945022014658,Có,2900,3100,3100,3400,3100,3120,Chai,2900,0,2900,0,2900,0,2900,0,2900,0
Kem dưỡng đêm 505 Noevir 30g,Sản phẩm thường,SKII-Dior-Shu-Son,4945022014665,4945022014665,Có,4800,5000,5000,5500,5000,5100,Hộp,4800,1,4800,0,4800,0,4800,0,4800,0
Son giữ màu Rimmel Magical Stay Lip Coat,Sản phẩm thường,SKII-Dior-Shu-Son,4971710470703,4971710470703,Có,135000,145000,140000,200000,145000,150000,tuýp,135000,0,135000,3,135000,3,135000,0,135000,0
Gel khóa son môi Kose Lip Magic 6g,Sản phẩm thường,SKII-Dior-Shu-Son,4971710474664,4971710474664,Có,135000,145000,140000,200000,145000,150000,Tuýp,135000,0,135000,0,135000,0,135000,0,135000,0
Phấn phủ bột SKII Facial Treatment Loose Powder UV SPF18/PA++,Sản phẩm thường,SKII-Dior-Shu-Son,4979006030853,4979006030853,Có,1750,1880,1850,2050,1880,1900,Hộp,1750,2,1750,0,1750,3,1750,0,1750,0
SKII Signs Control Base (kem lót kềm dầu) 25g,Sản phẩm thường,SKII-Dior-Shu-Son,4979006032277,4979006032277,Có,1079,1130,1120,1400,1130,1150,Hũ ,1079,2,1079,1,1079,2,1079,0,1079,0
Nước thần SKII LXP Activating Massage Fluid,Sản phẩm thường,SKII-Dior-Shu-Son,4979006032536,4979006032536,Có,2167,2250,2250,3000,2250,2300,chai,2167,0,2167,0,2167,0,2167,0,2167,0
7906-Hộp phấn SKII tròn ,Sản phẩm thường,SKII-Dior-Shu-Son,4979006037906,4979006037906,Có,365000,390000,390000,550000,390000,400000,hộp,365000,1,365000,0,365000,0,365000,0,365000,0
Hộp phấn Ovan SKII Compact For Powder,Sản phẩm thường,SKII-Dior-Shu-Son,4979006043693,4979006043693,Có,365000,395000,395000,550000,395000,400000,Hộp,365000,4,365000,0,365000,2,365000,0,365000,0
SRM SKII Facial Treatment Gentle Cleanser 120g (New),Sản phẩm thường,SKII-Dior-Shu-Son,4979006049626,4979006049626,Có,1433,1500,1500,1900,1500,1520,Chai,1433,0,1433,0,1433,0,1433,0,1433,0
SKII Whitening Spots Specialist 30ml,Sản phẩm thường,SKII-Dior-Shu-Son,4979006050301,4979006050301,Có,1850,1950,1950,2150,1950,1950,chai,1850,0,1850,0,1850,0,1850,0,1850,0
