Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
1521-Viên uống chiết xuất từ việt quất DHC 40v,Sản phẩm thường,Thuốc - TPCN,4511413401521,4511413401521,Có,0,,,200000,,110000,gói,0,0,0,0,0,0,0,0,0,0
1569-Viên uống giảm mỡ đùi DHC 40 viên,Sản phẩm thường,Thuốc - TPCN,4511413401569,4511413401569,Có,130000,145000,140000,200000,145000,150000,Gói ,130000,0,130000,0,130000,0,130000,0,130000,0
1743-Viên uống nở ngực DHC 60v,Sản phẩm thường,Thuốc - TPCN,4511413401743,4511413401743,Có,0,,,200000,,130000,gói,0,0,0,0,0,0,0,0,0,0
2405-Viên uống chiết xuất từ cây mật nhân DHC 20v,Sản phẩm thường,Thuốc - TPCN,4511413402405,4511413402405,Có,0,130000,125000,200000,130000,135000,gói,0,0,0,0,0,0,0,0,0,0
3013-Viên uống DHC tan mỡ 20 ngày,Sản phẩm thường,Thuốc - TPCN,4511413403013,4511413403013,Có,190000,195000,195000,300000,195000,200000,Gói,190000,0,190000,0,190000,0,190000,0,190000,0
3075-Vitamin tổng hợp + Q10 DHC 100v,Sản phẩm thường,Thuốc - TPCN,4511413403075,4511413403075,Có,90000,105000,105000,200000,105000,110000,gói,90000,0,90000,0,90000,0,90000,0,90000,0
3143-Viên uống giảm cân DHC 20 ngày,Sản phẩm thường,Thuốc - TPCN,4511413403143,4511413403143,Có,190000,205000,195000,300000,205000,210000,Gói,190000,0,190000,0,190000,0,190000,0,190000,0
Thuốc giải rượu DHC,Sản phẩm thường,Thuốc - TPCN,4511413403389,4511413403389,Có,90000,120000,120000,200000,120000,120000,Hộp,90000,0,90000,0,90000,0,90000,0,90000,0
3600-Viên uống bổ sung khoáng tổng hợp DHC 180v,Sản phẩm thường,Thuốc - TPCN,4511413403600,4511413403600,Có,90000,105000,105000,200000,105000,110000,gói,90000,0,90000,0,90000,0,90000,0,90000,0
Viên uống DHC bổ sung DHA 80v,Sản phẩm thường,Thuốc - TPCN,4511413403648,4511413403648,Có,170000,190000,190000,300000,190000,200000,hộp,170000,0,170000,0,170000,0,170000,0,170000,0
3723-Vien uống DHC Coenzym Q10 60 ngày,Sản phẩm thường,Thuốc - TPCN,4511413403723,4511413403723,Có,180000,185000,185000,300000,185000,190000,Gói,180000,1,180000,0,180000,0,180000,0,180000,0
3853-Viên uống chiết xuất từ Maca DHC 60v,Sản phẩm thường,Thuốc - TPCN,4511413403853,4511413403853,Có,90000,105000,105000,200000,105000,110000,gói,90000,0,90000,0,90000,0,90000,0,90000,0
3976-Viên uống Vitamin tổng hợp Dhc 90 viên,Sản phẩm thường,Thuốc - TPCN,4511413403976,4511413403976,Có,165000,180000,175000,250000,180000,185000,Gói,165000,1,165000,9,165000,0,165000,0,165000,0
Thực phẩm bảo vệ sức khỏe Vitamin C DHC 90 ngày,Sản phẩm thường,Thuốc - TPCN,4511413403983,4511413403983,Có,145000,160000,155000,250000,160000,165000,Gói,145000,10,145000,0,145000,4,145000,0,145000,0
4065-Viên uống giải rượu DHC 40v,Sản phẩm thường,Thuốc - TPCN,4511413404065,4511413404065,Có,90000,105000,105000,200000,105000,110000,gói,90000,0,90000,0,90000,0,90000,0,90000,0
Viên uống DHC bổ sung vitamin B-mix 20 ngày,Sản phẩm thường,Thuốc - TPCN,4511413404089,4511413404089,Có,0,450000,450000,90000,450000,450000,Gói,0,0,0,0,0,0,0,0,0,0
4140-Viên uống giải rượu DHC 60 ngày ,Sản phẩm thường,Thuốc - TPCN,4511413404140,4511413404140,Có,230000,250000,250000,200000,250000,255000,Gói,230000,0,230000,0,230000,0,230000,0,230000,0
4164- Viên uống DHC bổ sung vitamin B-mix,Sản phẩm thường,Thuốc - TPCN,4511413404164,4511413404164,Có,85000,90000,85000,200000,90000,95000,Gói,85000,0,85000,0,85000,0,85000,0,85000,0
4386-Viên uống Glucosamin DHC 120v,Sản phẩm thường,Thuốc - TPCN,4511413404386,4511413404386,Có,90000,105000,105000,200000,105000,110000,gói,90000,0,90000,0,90000,0,90000,0,90000,0
4393-Viên uống bổ xương khớp DHC 60v,Sản phẩm thường,Thuốc - TPCN,4511413404393,4511413404393,Có,90000,105000,105000,200000,105000,110000,gói,90000,0,90000,0,90000,0,90000,0,90000,0
4607-Viên uống Ornithine DHC 100v,Sản phẩm thường,Thuốc - TPCN,4511413404607,4511413404607,Có,90000,105000,105000,200000,105000,110000,gói,90000,0,90000,0,90000,0,90000,0,90000,0
4683-Viên uống bổ xương khớp DHC 120v,Sản phẩm thường,Thuốc - TPCN,4511413404683,4511413404683,Có,90000,105000,105000,200000,105000,110000,gói,90000,0,90000,0,90000,0,90000,0,90000,0
4799-Viên uống hỗ trợ thải độc DHC 60v,Sản phẩm thường,Thuốc - TPCN,4511413404799,4511413404799,Có,90000,105000,105000,200000,105000,110000,gói,90000,0,90000,0,90000,0,90000,0,90000,0
5031Giảm cân DHC 20 ngày,Sản phẩm thường,Thuốc - TPCN,4511413405031,4511413405031,Có,187000,200000,200000,300000,200000,200000,gói,187000,0,187000,0,187000,0,187000,0,187000,0
5185-Viên uống bổ sung canxi DHC 60 ngày,Sản phẩm thường,Thuốc - TPCN,4511413405185,4511413405185,Có,180000,190000,185000,300000,190000,195000,Gói,180000,2,180000,3,180000,0,180000,0,180000,0
