Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Bia Asahi loại 2 lít,Sản phẩm thường,Rượu - Thuốc lá,4901004007810,4901004007810,Có,342000,375000,365000,480000,375000,385000,chai (6),342000,0,342000,0,342000,0,342000,0,342000,0
Set Bia Asahi 350ml màu xanh (12 Lon),Sản phẩm thường,Rượu - Thuốc lá,4901004010988,4901004010988,Có,690000,730000,720000,300000,730000,740000,set(3),690000,0,690000,0,690000,0,690000,0,690000,0
Bia Asahi 350ml (THÙNG),Sản phẩm thường,Rượu - Thuốc lá,4901004035400,4901004035400,Có,1100,1250,1250,1100,1250,1300,Thùng ,1100,0,1100,0,1100,0,1100,0,1100,0
Bia Asahi 135ml (Block) ,Sản phẩm thường,Rượu - Thuốc lá,4901004037428,4901004037428,Có,132500,150000,150000,200000,150000,165000,Block (4),132500,0,132500,0,132500,0,132500,0,132500,0
Set Bia Asahi Super Dry (12 Lon),Sản phẩm thường,Rượu - Thuốc lá,4901004048455,4901004048455,Có,700000,740000,730000,300000,740000,750000,set(3),700000,0,700000,2,700000,0,700000,0,700000,0
Bia kirrin vàng,Sản phẩm thường,Rượu - Thuốc lá,4901411011516,4901411011516,Có,700000,720000,720000,750000,720000,720000,chai,700000,0,700000,0,700000,0,700000,0,700000,0
Set Bia Kirin Premium vàng,Sản phẩm thường,Rượu - Thuốc lá,4901411085227,4901411085227,Có,710000,750000,740000,300000,750000,760000,Set (3),710000,0,710000,0,710000,0,710000,0,710000,0
Rượu Champane vẩy vàng HOKUSAI xanh,Sản phẩm thường,Rượu - Thuốc lá,4901515003394,4901515003394,Có,880000,940000,930000,1150,940000,950000,Chai(6),880000,6,880000,5,880000,6,880000,0,880000,0
Rượu Champane vẩy vàng HOKUSAI hồng ,Sản phẩm thường,Rượu - Thuốc lá,4901515003813,4901515003813,Có,880000,940000,930000,1150,940000,950000,Chai(6),880000,4,880000,6,880000,7,880000,0,880000,0
Rượu mơ vảy vàng 8 năm ,Sản phẩm thường,Rượu - Thuốc lá,4901515004759,4901515004759,Có,430000,470000,460000,650000,470000,480000,Chai (12),430000,10,430000,7,430000,6,430000,0,430000,0
Rượu mơ vẩy vàng 500ml,Sản phẩm thường,Rượu - Thuốc lá,4901515512988,4901515512988,Có,255000,270000,260000,400000,270000,275000,Chai(12),255000,5,255000,0,255000,0,255000,0,255000,0
1320-Rượu champagne Gold Sparkling 720ml,Sản phẩm thường,Rượu - Thuốc lá,4901515561320,4901515561320,Có,300000,360000,350000,500000,360000,370000,chai(12),300000,8,300000,0,300000,6,300000,0,300000,0
Rượu Sake vẩy vàng 180ml,Sản phẩm thường,Rượu - Thuốc lá,4901524022485,4901524022485,Có,130000,150000,150000,200000,150000,160000,Chai,130000,0,130000,0,130000,0,130000,0,130000,0
Rượu Hibiki 17 năm,Sản phẩm thường,Rượu - Thuốc lá,4901777025141,4901777025141,Có,8000,8250,8200,9500,8250,8300,Chai,8000,4,8000,0,8000,0,8000,0,8000,0
Rượu Hibiki 21,Sản phẩm thường,Rượu - Thuốc lá,4901777040427,4901777040427,Có,13500,13850,13800,14800,13850,13900,chai,13500,1,13500,0,13500,0,13500,0,13500,0
Rượu Suntory Old Whisky,Sản phẩm thường,Rượu - Thuốc lá,4901777188112,4901777188112,Có,430000,460000,450000,550000,460000,470000,chai (12),430000,5,430000,0,430000,0,430000,0,430000,0
8211-Rượu Whisky Royal ,Sản phẩm thường,Rượu - Thuốc lá,4901777188211,4901777188211,Có,780000,810000,800000,1050,810000,820000,Chai(12),780000,6,780000,0,780000,0,780000,0,780000,0
Rượu the Yamazaki 12,Sản phẩm thường,Rượu - Thuốc lá,4901777188914,4901777188914,Có,4200,4270,4250,5000,4270,4300,chai,4200,9,4200,0,4200,0,4200,0,4200,0
