Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Kẹo Mitsuya cider ,Sản phẩm thường,Bánh kẹo,4946842509454,4946842509454,Có,35000,42000,42000,50000,42000,45000,Thùng (6*8),35000,0,35000,0,35000,0,35000,0,35000,0
0961-Kẹo trái cây Calpis 100g,Sản phẩm thường,Bánh kẹo,4946842520961,4946842520961,Có,38000,42000,41000,60000,42000,43000,Gói(6),38000,0,38000,0,38000,0,38000,0,38000,0
5201-Bánh quy bổ sung vitamin + canxi  vị quả sung Asahi,Sản phẩm thường,Bánh kẹo,4946842525201,4946842525201,Có,75000,85000,85000,115000,85000,88000,hộp (4x6),75000,0,75000,0,75000,0,75000,0,75000,0
6154-Kẹo Mintia vị Calpis ,Sản phẩm thường,Bánh kẹo,4946842526154,4946842526154,Có,20000,23000,22000,10000,23000,24000,hộp(10x20),20000,0,20000,1,20000,0,20000,0,20000,0
6512-Kẹo Mintia vị nho,Sản phẩm thường,Bánh kẹo,4946842526512,4946842526512,Có,20000,23000,22000,10000,23000,24000,hộp(10x20),20000,0,20000,0,20000,0,20000,0,20000,0
7397-Kẹo Mintia vị chocomint,Sản phẩm thường,Bánh kẹo,4946842527397,4946842527397,Có,20000,23000,22000,10000,23000,24000,hộp(10x20),20000,0,20000,1,20000,0,20000,0,20000,0
7458-Kẹo Mintia vị bạc hà và hoa lài,Sản phẩm thường,Bánh kẹo,4946842527458,4946842527458,Có,20000,23000,22000,10000,23000,24000,hộp(10x20),20000,0,20000,0,20000,0,20000,0,20000,0
0795-Bánh gạo vị mực 6g đỏ,Sản phẩm thường,Bánh kẹo,49480795,49480795,Có,2200,3000,2800,2000,3000,3200,Cây(600),2200,0,2200,0,2200,0,2200,0,2200,0
0801-Bánh gạo vị gà 6g,Sản phẩm thường,Bánh kẹo,49480801,49480801,Có,2200,3000,30000,2000,3000,3200,Cây(600),2200,0,2200,0,2200,0,2200,0,2200,0
0818-Bánh gạo vị sốt thịt heo 6g xanh biển ,Sản phẩm thường,Bánh kẹo,49480818,49480818,Có,2200,3000,2800,2000,3000,3200,Cây(600),2200,0,2200,0,2200,0,2200,0,2200,0
0825-Bánh gạo vị xúc xích 6g cam,Sản phẩm thường,Bánh kẹo,49480825,49480825,Có,2200,3000,2800,2000,3000,3200,Cây(600),2200,0,2200,0,2200,0,2200,0,2200,0
0832-Bánh gạo phô mai 6g,Sản phẩm thường,Bánh kẹo,49480832,49480832,Có,2200,3000,280000,2000,3000,3200,Cây(600),2200,0,2200,0,2200,0,2200,0,2200,0
0849-Bánh gạo vị teriyaki 6g vàng,Sản phẩm thường,Bánh kẹo,49480849,49480849,Có,2200,3000,2800,2000,3000,3200,Cây(600),2200,0,2200,0,2200,0,2200,0,2200,0
0856-Bánh gạo vị mentai 6g tím                               ,Sản phẩm thường,Bánh kẹo,49480856,49480856,Có,2200,3000,2800,2000,3000,3200,Cây(600),2200,0,2200,0,2200,0,2200,0,2200,0
0863-Bánh gạo salad  6g xanh lá ,Sản phẩm thường,Bánh kẹo,49480863,49480863,Có,2200,3000,2800,2000,3000,3200,Cây(600),2200,0,2200,0,2200,0,2200,0,2200,0
Chocola Broderie hộp nhỏ ,Sản phẩm thường,Bánh kẹo,4949582226209,4949582226209,Có,125000,135000,135000,130000,135000,140000,Hộp,125000,0,125000,0,125000,0,125000,0,125000,0
Bánh Gateau Sec 16 gói,Sản phẩm thường,Bánh kẹo,4950248011442,4950248011442,Có,260000,280000,280000,400000,280000,290000,Hộp(6),260000,0,260000,0,260000,0,260000,0,260000,0
2630-Bánh Russian Cake & Cookie 12 miếng,Sản phẩm thường,Bánh kẹo,4950248012630,4950248012630,Có,190000,210000,210000,300000,210000,220000,Hộp(6),190000,0,190000,0,190000,0,190000,0,190000,0
2654-Bánh Cake Set 10 cái,Sản phẩm thường,Bánh kẹo,4950248012654,4950248012654,Có,200000,230000,220000,100000,230000,240000,Hộp,200000,0,200000,0,200000,0,200000,0,200000,0
5044-Bánh dâu ICHIGO RUSSIAN,Sản phẩm thường,Bánh kẹo,4950248015044,4950248015044,Có,220000,240000,240000,350000,240000,250000,Hộp,220000,0,220000,0,220000,0,220000,0,220000,0
Thạch trái cây cao cấp (cam),Sản phẩm thường,Bánh kẹo,4951436002938,4951436002938,Có,300000,310000,310000,380000,310000,320000,Hộp,300000,0,300000,0,300000,0,300000,0,300000,0
Thạch trái cây cao cấp đỏ,Sản phẩm thường,Bánh kẹo,4951436005441,4951436005441,Có,300000,310000,310000,380000,310000,320000,Hộp,300000,0,300000,0,300000,0,300000,0,300000,0
Thạch trái cây cao cấp (tím),Sản phẩm thường,Bánh kẹo,4951436007124,4951436007124,Có,300000,310000,310000,380000,310000,320000,Hộp,300000,0,300000,0,300000,0,300000,0,300000,0
Bánh LETAO,Sản phẩm thường,Bánh kẹo,4952336085625,4952336085625,Có,415000,450000,450000,500000,450000,450000,Cái,415000,0,415000,0,415000,0,415000,0,415000,0
2831-Bánh Mochi Hoa Anh Đào,Sản phẩm thường,Bánh kẹo,4953372432831,4953372432831,Có,367000,370000,370000,470000,370000,370000,Hộp,367000,0,367000,0,367000,0,367000,0,367000,0
"Thạch trái cây đào , cam , dứa",Sản phẩm thường,Bánh kẹo,4955129022302,4955129022302,Có,30000,35000,35000,45000,35000,35000,hũ (6),30000,0,30000,0,30000,0,30000,0,30000,0
Bánh quy Shiroi Koibito Ishiva  12 miếng,Sản phẩm thường,Bánh kẹo,4956758006008,4956758006008,Có,205000,225000,225000,270000,225000,225000,hộp ,205000,0,205000,0,205000,0,205000,0,205000,0
9009-Bánh tuyết Chocola Hokaido 18 miếng,Sản phẩm thường,Bánh kẹo,4956758009009,4956758009009,Có,270000,295000,290000,150000,295000,300000,Hộp (18),270000,0,270000,0,270000,0,270000,0,270000,0
8496-Bánh Mochi Lồng Đèn Kéo Quân,Sản phẩm thường,Bánh kẹo,4963210158496,4963210158496,Có,350000,370000,370000,450000,370000,370000,Hộp,350000,0,350000,0,350000,0,350000,0,350000,0
6216-Bánh Mochi Geisha Ranman,Sản phẩm thường,Bánh kẹo,4963210316216,4963210316216,Có,350000,370000,370000,450000,370000,370000,Hộp,350000,0,350000,0,350000,0,350000,0,350000,0
6896-Bánh Mochi Lễ Hội,Sản phẩm thường,Bánh kẹo,4963210316896,4963210316896,Có,350000,370000,370000,450000,370000,370000,Hộp,350000,0,350000,0,350000,0,350000,0,350000,0
Kẹo mơ muối hoa anh đào,Sản phẩm thường,Bánh kẹo,4967678000311,4967678000311,Có,210000,225000,225000,300000,225000,230000,Gói ( 20),210000,0,210000,0,210000,0,210000,0,210000,0
Kẹo xí muội hoa anh đào 500g,Sản phẩm thường,Bánh kẹo,4967678000328,4967678000328,Có,210000,230000,230000,300000,230000,230000,Gói (20),210000,0,210000,0,210000,0,210000,0,210000,0
Kẹo đào muối Supaiman Omaei ,Sản phẩm thường,Bánh kẹo,4967678071601,4967678071601,Có,40000,47000,45000,65000,47000,50000,gói (10x3),40000,0,40000,0,40000,0,40000,0,40000,0
Bánh Mochi chuối,Sản phẩm thường,Bánh kẹo,4968623103675,4968623103675,Có,230000,260000,260000,400000,260000,260000,hộp,230000,0,230000,0,230000,0,230000,0,230000,0
3170-Bánh hộp Tokyo Fugetsudo (6 cái/hộp),Sản phẩm thường,Bánh kẹo,4969203003170,4969203003170,Có,380000,400000,400000,500000,400000,410000,Hộp,380000,0,380000,0,380000,0,380000,0,380000,0
Bánh con mèo,Sản phẩm thường,Bánh kẹo,4970014100057,4970014100057,Có,35000,40000,40000,50000,40000,40000,hộp,35000,0,35000,0,35000,0,35000,0,35000,0
Bánh Rosenheim Einekraine (8 gói/hộp),Sản phẩm thường,Bánh kẹo,4970245156342,4970245156342,Có,450000,470000,470000,650000,470000,510000,Hộp,450000,0,450000,0,450000,0,450000,0,450000,0
6359-Bánh quy Rosenheim Feine Konfiserie 12 gói ,Sản phẩm thường,Bánh kẹo,4970245156359,4970245156359,Có,350000,370000,370000,450000,370000,380000,Hộp,350000,0,350000,0,350000,0,350000,0,350000,0
