Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Bao tay dùng 1 lần (100 cái),Sản phẩm thường,Hàng gia dụng,4947879709749,4947879709749,Có,30140,35000,35000,40000,35000,37000,cái,30140,0,30140,0,30140,0,30140,0,30140,0
271 Bình nhựa đựng nước 500ml (Nhiều kiểu),Sản phẩm thường,Hàng gia dụng,4947879710271,4947879710271,Có,31240,35000,35000,40000,35000,35000,cái,31240,0,31240,0,31240,0,31240,0,31240,0
Kéo làm bếp Seria ,Sản phẩm thường,Hàng gia dụng,4947879711797,4947879711797,Có,35000,40000,40000,60000,40000,45000,Cây,35000,0,35000,0,35000,0,35000,0,35000,0
Miếng silicone lót bếp từ                                     ,Sản phẩm thường,Hàng gia dụng,4947989311849,4947989311849,Có,60000,70000,70000,90000,70000,70000,Cái,60000,0,60000,0,60000,0,60000,0,60000,0
2640-Cây nạo lưỡi  Black Power,Sản phẩm thường,Hàng gia dụng,4952110312640,4952110312640,Có,45000,50000,50000,65000,50000,52000,Cái,45000,15,45000,11,45000,9,45000,0,45000,0
170 Đũa tre 33cm (4 đôi),Sản phẩm thường,Hàng gia dụng,4953980141170,4953980141170,Có,46000,52000,50000,65000,52000,53000,set,46000,2,46000,0,46000,0,46000,0,46000,0
Chai nước thổi bong bóng xà phòng,Sản phẩm thường,Hàng gia dụng,4954169151065,4954169151065,Có,30550,35000,35000,50000,35000,38000,Cái,30550,0,30550,0,30550,0,30550,0,30550,0
0808- Hộp nhựa tròn set đôi,Sản phẩm thường,Hàng gia dụng,4955959000808,4955959000808,Có,28000,33000,33000,40000,33000,35000,set,28000,0,28000,0,28000,0,28000,0,28000,0
Hộp đựng thực phẩm nhựa PP,Sản phẩm thường,Hàng gia dụng,4955959112310,4955959112310,Có,34430,36000,36000,45000,36000,37000,cái,34430,0,34430,0,34430,0,34430,0,34430,0
Hộp nhựa 200ml set 3 cái,Sản phẩm thường,Hàng gia dụng,4955959114116,4955959114116,Có,26000,32000,32000,40000,32000,35000,set,26000,5,26000,6,26000,4,26000,0,26000,0
Hộp nhựa tròn 180ml (set 3 cái),Sản phẩm thường,Hàng gia dụng,4955959114215,4955959114215,Có,26000,32000,32000,40000,32000,35000,cái,26000,5,26000,7,26000,3,26000,0,26000,0
Hộp đựng thực phẩm 2L,Sản phẩm thường,Hàng gia dụng,4955959115113,4955959115113,Có,33660,35000,35000,45000,35000,35000,cái,33660,0,33660,0,33660,0,33660,0,33660,0
Ca đong chia vạch 500ml Nakaya,Sản phẩm thường,Hàng gia dụng,4955959115915,4955959115915,Có,26000,32000,32000,40000,32000,35000,Cái,26000,0,26000,3,26000,6,26000,0,26000,0
6714-Set khay đựng rau củ Nakaya,Sản phẩm thường,Hàng gia dụng,4955959116714,4955959116714,Có,25000,32000,30000,40000,32000,35000,cái,25000,7,25000,0,25000,0,25000,0,25000,0
Giá đựng hoa quả 2 lớp hình chữ nhật,Sản phẩm thường,Hàng gia dụng,4955959116813,4955959116813,Có,26000,30000,29000,40000,30000,32000,Cái,26000,11,26000,10,26000,4,26000,0,26000,0
