Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Mút chùi rửa vết bẩn cứng đầu nhà bếp,Sản phẩm thường,Hàng gia dụng,4933776014222,4933776014222,Có,43230,45000,45000,60000,45000,47000,cái,43230,0,43230,0,43230,0,43230,0,43230,0
Mút rửa bát đĩa màu xanh Marukin GDJ - 315,Sản phẩm thường,Hàng gia dụng,4933776020315,4933776020315,Có,27881,35000,35000,45000,35000,35000,cái,27881,0,27881,0,27881,0,27881,0,27881,0
Mút rửa chén bát tạo bọt,Sản phẩm thường,Hàng gia dụng,4933776020513,4933776020513,Có,59620,65000,65000,80000,65000,70000,cái,59620,0,59620,0,59620,0,59620,0,59620,0
Mút rửa nồi chảo tạo bọt,Sản phẩm thường,Hàng gia dụng,4933776020520,4933776020520,Có,56980,62000,62000,80000,62000,65000,cái,56980,0,56980,0,56980,0,56980,0,56980,0
Mút mouse chùi rửa vết bẩn cứng đầu nhà bếp,Sản phẩm thường,Hàng gia dụng,4933776020537,4933776020537,Có,56980,60000,60000,80000,60000,65000,cái,56980,0,56980,0,56980,0,56980,0,56980,0
Mút chùi kỳ diệu,Sản phẩm thường,Hàng gia dụng,4933776023217,4933776023217,Có,21100,25000,25000,30000,25000,28000,cái,21100,0,21100,0,21100,0,21100,0,21100,0
Bàn chải chà thớt ,Sản phẩm thường,Hàng gia dụng,4934136045047,4934136045047,Có,28000,32000,30000,40000,32000,33000,cái,28000,1,28000,0,28000,0,28000,0,28000,0
5195-Dao bào rau củ ,Sản phẩm thường,Hàng gia dụng,4934481215195,4934481215195,Có,28000,32000,30000,45000,32000,33000,Cái(12),28000,21,28000,9,28000,22,28000,0,28000,0
5226-Đồ gắp thức ăn Almighty Tong,Sản phẩm thường,Hàng gia dụng,4934481995226,4934481995226,Có,28000,,,40000,,,Cái,28000,2,28000,0,28000,0,28000,0,28000,0
Dụng cụ cắt trứng inox,Sản phẩm thường,Hàng gia dụng,4934481997527,4934481997527,Có,32500,37000,36000,45000,37000,38000,Cái,32500,1,32500,0,32500,1,32500,0,32500,0
6705-Bông ngoáy tai Muji 200 cái,Sản phẩm thường,Hàng gia dụng,4934761396705,4934761396705,Có,65000,70000,70000,100000,70000,75000,Hộp,65000,0,65000,0,65000,0,65000,0,65000,0
Dán hạ sốt Hiehie người lớn 16 miếng,Sản phẩm thường,Hàng gia dụng,4935583202281,4935583202281,Có,90000,110000,110000,50000,110000,100000,hộp,90000,0,90000,0,90000,0,90000,0,90000,0
4796v-Muỗng inox Daiso,Sản phẩm thường,Hàng gia dụng,4936181004796,4936181004796,Có,28000,35000,35000,40000,35000,37000,Cái,28000,42,28000,10,28000,0,28000,0,28000,0
Miếng nhấc nồi nhiều màu,Sản phẩm thường,Hàng gia dụng,4936181509512,4936181509512,Có,31790,32000,30000,45000,32000,33000,Cái,31790,0,31790,0,31790,0,31790,0,31790,0
0210-Dụng cụ chùi rửa bồn cầu ,Sản phẩm thường,Hàng gia dụng,4936181520210,4936181520210,Có,28000,33000,33000,40000,33000,35000,Cái,28000,2,28000,0,28000,0,28000,0,28000,0
8113-Bông ngoáy tai 250 cái,Sản phẩm thường,Hàng gia dụng,4936613058113,4936613058113,Có,40000,45000,45000,70000,45000,47000,Hộp,40000,0,40000,0,40000,0,40000,0,40000,0
Hộp 180 bông ngoáy tai cao cấp cho người lớn,Sản phẩm thường,Hàng gia dụng,4936613072331,4936613072331,Có,39000,45000,43000,60000,45000,47000,Cái,39000,42,39000,12,39000,14,39000,0,39000,0
Hộp 250 bông ngoáy tai kháng khuẩn cao cấp cho bé,Sản phẩm thường,Hàng gia dụng,4936613072423,4936613072423,Có,46800,54000,54000,70000,54000,58000,Cái,46800,26,46800,14,46800,16,46800,0,46800,0
9809-Thuốc lá SevenStars gói lẻ ,Sản phẩm thường,Hàng gia dụng,49400946,49400946,Có,80000,85000,85000,120000,85000,95000,Gói(10),80000,0,80000,0,80000,0,80000,0,80000,0
7064v-Cây lăn bụi nhỏ Daiso,Sản phẩm thường,Hàng gia dụng,4940921827064,4940921827064,Có,28000,35000,35000,50000,35000,37000,Cái,28000,1,28000,0,28000,0,28000,0,28000,0
7590-Đèn pin Daiso,Sản phẩm thường,Hàng gia dụng,4940921827590,4940921827590,Có,28000,35000,33000,50000,35000,37000,Cái,28000,1,28000,0,28000,0,28000,0,28000,0
0992-Bông ngoáy tai Muji 50 cái,Sản phẩm thường,Hàng gia dụng,4945247320992,4945247320992,Có,28000,35000,35000,50000,35000,37000,Gói,28000,0,28000,0,28000,0,28000,0,28000,0
Dao gọt hoa quả có nắp đậy,Sản phẩm thường,Hàng gia dụng,4946869240460,4946869240460,Có,30550,35000,35000,50000,35000,37000,Cái,30550,8,30550,6,30550,4,30550,0,30550,0
6415-Vá inox Green,Sản phẩm thường,Hàng gia dụng,4946869266415,4946869266415,Có,28000,33000,33000,40000,33000,35000,cái,28000,0,28000,0,28000,0,28000,0,28000,0
6439-Xẻng Green,Sản phẩm thường,Hàng gia dụng,4946869266439,4946869266439,Có,28000,33000,33000,40000,33000,35000,cái,28000,0,28000,0,28000,0,28000,0,28000,0
6446-Cây đánh trứng Green,Sản phẩm thường,Hàng gia dụng,4946869266446,4946869266446,Có,28000,33000,33000,40000,33000,35000,cái,28000,1,28000,0,28000,0,28000,0,28000,0
6453-Vá vớt đồ chiên Green,Sản phẩm thường,Hàng gia dụng,4946869266453,4946869266453,Có,28000,33000,33000,40000,33000,35000,cái,28000,0,28000,0,28000,0,28000,0,28000,0
Dụng cụ lau kính,Sản phẩm thường,Hàng gia dụng,4946869276957,4946869276957,Có,37700,43000,43000,58000,43000,45000,Cái,37700,0,37700,0,37700,0,37700,0,37700,0
0961-Kéo New Kitchen ,Sản phẩm thường,Hàng gia dụng,4946869280961,4946869280961,Có,28000,33000,33000,40000,33000,35000,Cái,28000,0,28000,0,28000,0,28000,0,28000,0
1333-Đèn pin Mega Ultra,Sản phẩm thường,Hàng gia dụng,4946869281333,4946869281333,Có,28000,37000,35000,50000,37000,40000,Cái,28000,24,28000,9,28000,2,28000,0,28000,0
1645-Pin Alkaline 2A ,Sản phẩm thường,Hàng gia dụng,4947678031645,4947678031645,Có,28000,37000,35000,45000,37000,40000,Set,28000,1,28000,0,28000,2,28000,0,28000,0
1652v-Pin 3A Alkaline Daiso,Sản phẩm thường,Hàng gia dụng,4947678031652,4947678031652,Có,28000,240000,240000,45000,240000,210000,Set,28000,13,28000,0,28000,0,28000,0,28000,0
Bao tay cao su viền vải size M,Sản phẩm thường,Hàng gia dụng,4947879001034,4947879001034,Có,44110,48000,48000,55000,48000,48000,Đôi,44110,0,44110,0,44110,0,44110,0,44110,0
Bao tay cao su size S,Sản phẩm thường,Hàng gia dụng,4947879001041,4947879001041,Có,42350,48000,48000,55000,48000,48000,Đôi,42350,0,42350,0,42350,0,42350,0,42350,0
276 Cái vá inox,Sản phẩm thường,Hàng gia dụng,4947879450276,4947879450276,Có,24000,35000,35000,40000,35000,36000,cái,24000,0,24000,0,24000,0,24000,0,24000,0
283 Cái vá,Sản phẩm thường,Hàng gia dụng,4947879450283,4947879450283,Có,26400,35000,35000,40000,35000,32000,cái,26400,0,26400,0,26400,0,26400,0,26400,0
4655-Găng tay Seria,Sản phẩm thường,Hàng gia dụng,4947879464655,4947879464655,Có,28000,33000,33000,40000,33000,35000,Cái,28000,0,28000,0,28000,0,28000,0,28000,0
Cái gắp đá Seria - cán trắng,Sản phẩm thường,Hàng gia dụng,4947879504498,4947879504498,Có,29868,35000,35000,40000,35000,35000,cái,29868,0,29868,0,29868,0,29868,0,29868,0
Cây lăn bụi Seria (nhiều màu),Sản phẩm thường,Hàng gia dụng,4947879511045,4947879511045,Có,33770,38000,37000,45000,38000,39000,cây,33770,6,33770,4,33770,0,33770,0,33770,0
Bao tay nylon 70 cái,Sản phẩm thường,Hàng gia dụng,4947879514251,4947879514251,Có,32560,34000,33500,40000,34000,35000,cái,32560,0,32560,0,32560,0,32560,0,32560,0
Áo mưa trẻ em (Vàng),Sản phẩm thường,Hàng gia dụng,4947879519119,4947879519119,Có,36960,42000,40000,60000,42000,45000,Cái,36960,0,36960,0,36960,0,36960,0,36960,0
9843-Vá inox Seria 15cm,Sản phẩm thường,Hàng gia dụng,4947879519843,4947879519843,Có,28000,33000,33000,40000,33000,35000,cái,28000,0,28000,0,28000,0,28000,0,28000,0
Dụng cụ bào cắt rau củ Seria,Sản phẩm thường,Hàng gia dụng,4947879519980,4947879519980,Có,29590,35000,35000,40000,35000,37000,cái,29590,0,29590,0,29590,0,29590,0,29590,0
Ống hút Seria 100 cái,Sản phẩm thường,Hàng gia dụng,4947879522751,4947879522751,Có,28380,32000,33000,40000,32000,35000,cái,28380,0,28380,0,28380,0,28380,0,28380,0
768 Ống hút bẻ cong 120 cái,Sản phẩm thường,Hàng gia dụng,4947879522768,4947879522768,Có,28050,30000,30000,40000,30000,30000,cái,28050,0,28050,0,28050,0,28050,0,28050,0
