Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
7346-Dầu xã thực vật Botanist dưỡng ẩm 490g,Sản phẩm thường,Hóa Mỹ Phẩm,4582267397346,4582267397346,Có,0,350000,350000,500000,350000,360000,Chai,0,0,0,0,0,1,0,0,0,0
Dầu gội Botanist Green Apple- Smooth ,Sản phẩm thường,Hóa Mỹ Phẩm,4582267397353,4582267397353,Có,370000,360000,360000,500000,360000,365000,Chai,370000,0,370000,0,370000,0,370000,0,370000,0
7360-Dầu xả Botanist Apple & Berry 490g,Sản phẩm thường,Hóa Mỹ Phẩm,4582267397360,4582267397360,Có,370000,400000,390000,500000,400000,410000,Chai,370000,0,370000,0,370000,0,370000,0,370000,0
7377-Dầu gội Botanist hương táo chanh 490ml,Sản phẩm thường,Hóa Mỹ Phẩm,4582267397377,4582267397377,Có,0,400000,390000,500000,400000,410000,Chai,0,0,0,0,0,0,0,0,0,0
7384-Dầu xả Botanist Citrus & Musk 490g,Sản phẩm thường,Hóa Mỹ Phẩm,4582267397384,4582267397384,Có,0,400000,390000,500000,400000,410000,Chai,0,0,0,0,0,0,0,0,0,0
8909-Set gội xả Botanist Sakura & Cassis,Sản phẩm thường,Hóa Mỹ Phẩm,4582267398909,4582267398909,Có,730000,760000,750000,950000,760000,770000,Set,730000,0,730000,0,730000,0,730000,0,730000,0
8916-Set gội xả Botanist Sakura & Peach ,Sản phẩm thường,Hóa Mỹ Phẩm,4582267398916,4582267398916,Có,700000,810000,800000,950000,810000,820000,set,700000,0,700000,0,700000,0,700000,0,700000,0
8923-Set gội xả Botanist Sakura & Cherry ,Sản phẩm thường,Hóa Mỹ Phẩm,4582267398923,4582267398923,Có,730000,760000,750000,1000,760000,770000,Set,730000,0,730000,0,730000,0,730000,0,730000,0
1043-Dầu gội Clayge 500ml,Sản phẩm thường,Hóa Mỹ Phẩm,4582300061043,4582300061043,Có,330000,345000,345000,480000,345000,355000,chai,330000,0,330000,0,330000,0,330000,0,330000,0
1050-Dầu xả Clayge 500ml,Sản phẩm thường,Hóa Mỹ Phẩm,4582300061050,4582300061050,Có,330000,345000,345000,480000,345000,355000,chai,330000,0,330000,0,330000,0,330000,0,330000,0
