Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Tấy nhà VS,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4522831382378,4522831382378,Có,30000,35000,35000,45000,35000,40000,chai,30000,0,30000,0,30000,0,30000,0,30000,0
2385 Bịch tẩy nhà VS,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4522831382385,4522831382385,Có,30000,35000,35000,40000,35000,32000,gói,30000,0,30000,0,30000,0,30000,0,30000,0
Chai tẩy nhà vs xanh đậm,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4548927065277,4548927065277,Có,50000,60000,60000,70000,60000,60000,chai,50000,0,50000,0,50000,0,50000,0,50000,0
Khử mùi tủ lạnh ngăn rau củ,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4549131147988,4549131147988,Có,32000,45000,45000,60000,45000,50000,hộp,32000,0,32000,0,32000,0,32000,0,32000,0
3025-Xịt Sát Khuẩn Tay ,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4549131233025,4549131233025,Có,60000,,,150000,,,Chai,60000,0,60000,0,60000,0,60000,0,60000,0
5995- Khử mùi tủ lạnh trà xanh,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4549131345995,4549131345995,Có,28000,35000,32000,45000,35000,40000,Cái(10),28000,0,28000,0,28000,0,28000,0,28000,0
Nước tẩy lồng máy giặt CAIN 550g,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4549509004622,4549509004622,Có,85000,92000,90000,115000,92000,95000,Chai ( 20),85000,0,85000,0,85000,0,85000,0,85000,0
7946-Miếng khử mùi thùng rác ,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4560177467946,4560177467946,Có,26000,30000,30000,40000,30000,33000,Cái,26000,0,26000,0,26000,0,26000,0,26000,0
Miếng khử mùi tủ bếp,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4560177467953,4560177467953,Có,28050,32000,32000,40000,32000,35000,cái,28050,0,28050,0,28050,0,28050,0,28050,0
Khử mùi tủ lạnh 150g,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4560297780185,4560297780185,Có,42000,50000,50000,65000,50000,53000,Hộp (72),42000,0,42000,0,42000,0,42000,0,42000,0
1065-Xịt chống côn trùng SPireal 200ml,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4560373021065,4560373021065,Có,160000,170000,170000,250000,170000,175000,chai,160000,0,160000,0,160000,0,160000,0,160000,0
1090-Gel rửa tay Clefeel 100ml,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4571213101090,4571213101090,Có,100000,125000,120000,150000,125000,130000,Chai,100000,20,100000,18,100000,17,100000,0,100000,0
Viên bỏ bồn cầu 12 viên,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4573177590293,4573177590293,Có,150000,165000,165000,200000,165000,175000,Set,150000,0,150000,0,150000,0,150000,0,150000,0
Nước tẩy lồng giặt Kyowa 400ml,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4580104821412,4580104821412,Có,29250,33000,33000,45000,33000,35000,Chai,29250,0,29250,11,29250,12,29250,0,29250,0
1436-Chai xịt tẩy bếp 300ml,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4580104821436,4580104821436,Có,28000,32000,32000,50000,32000,33000,Chai,28000,0,28000,0,28000,0,28000,0,28000,0
Nước thông cống Gel Corporation 500g,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4580104821672,4580104821672,Có,28000,33000,33000,45000,33000,35000,Chai,28000,0,28000,0,28000,0,28000,0,28000,0
2774-Viên thả bồn cầu Pica 50gx2,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4580297232774,4580297232774,Có,26000,32000,32000,40000,32000,32000,set ,26000,0,26000,0,26000,0,26000,0,26000,0
5015-Viên thông cống 12 viên,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4900480225015,4900480225015,Có,60000,68000,65000,90000,68000,70000,Set,60000,4,60000,0,60000,0,60000,0,60000,0
Xịt thơm phòng lavender 330ml ,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070112289,4901070112289,Có,70000,75000,75000,100000,75000,80000,Chai (24),70000,0,70000,0,70000,0,70000,0,70000,0
Xịt thơm phòng bạc hà 330ml,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070112722,4901070112722,Có,70000,75000,75000,100000,75000,80000,Chai ( 24),70000,0,70000,0,70000,0,70000,0,70000,0
Xịt khử mùi hương chanh 330ml,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070113798,4901070113798,Có,70000,75000,75000,100000,75000,80000,Chai ( 24),70000,0,70000,0,70000,0,70000,0,70000,0
3835-Thơm phòng Aroma hương cam 400ml,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070113835,4901070113835,Có,88000,98000,98000,140000,98000,100000,Chai(18),88000,0,88000,0,88000,0,88000,0,88000,0
Xịt thơm phòng cam 330ml ,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070114276,4901070114276,Có,70000,75000,75000,100000,75000,80000,Chai (24),70000,0,70000,0,70000,0,70000,0,70000,0
4542-Viên làm sạch tẩy trắng bồn cầu,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070114542,4901070114542,Có,75000,85000,85000,110000,85000,90000,Cái(10),75000,0,75000,0,75000,0,75000,0,75000,0
Thơm nhà WC bạc hà,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070115037,4901070115037,Có,65000,60000,60000,100000,60000,90000,chai,65000,0,65000,0,65000,0,65000,0,65000,0
Thơm nhà WC mùi chanh,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070115068,4901070115068,Có,65000,60000,60000,100000,60000,90000,chai,65000,0,65000,0,65000,0,65000,0,65000,0
6294-Viên làm sạch bồn cầu,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070116294,4901070116294,Có,45000,55000,55000,75000,55000,55000,Cái(10),45000,0,45000,0,45000,0,45000,0,45000,0
8649-Thơm phòng Aroma hương hoa cúc 400ml ,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070118649,4901070118649,Có,88000,98000,98000,140000,98000,100000,Chai(18),88000,0,88000,0,88000,0,88000,0,88000,0
2752-Thơm phòng Aroma hương trà xanh 400ml,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070122752,4901070122752,Có,88000,98000,98000,140000,98000,100000,Chai(18),88000,0,88000,0,88000,0,88000,0,88000,0
2769-Thơm phòng Aroma hương hoa hồng 400ml,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070122769,4901070122769,Có,88000,98000,98000,140000,98000,100000,Chai(18),88000,0,88000,0,88000,0,88000,0,88000,0
3582 Thơm phòng WC hoa cúc,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070123582,4901070123582,Có,58000,60000,60000,100000,60000,65000,chai,58000,3,58000,0,58000,0,58000,0,58000,0
4503-Thơm phòng hương hoa hồng,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4901070124503,4901070124503,Có,88000,95000,95000,140000,95000,100000,Chai(18),88000,0,88000,0,88000,0,88000,0,88000,0
