Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Quần kaki UNIQLO,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",430000006,430000006,Có,500000,550000,550000,700000,550000,580000,cái,500000,0,500000,0,500000,0,500000,0,500000,0
Quần EDWIN Nam ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",430000007,430000007,Có,1150,1300,1300,1500,1300,1320,cái ,1150,0,1150,0,1150,0,1150,0,1150,0
Quần tây  Nam Uniqlo (3990),Sản phẩm thường,"Quần áo - Khăn, tất, thảm",430000009,430000009,Có,500000,550000,550000,750000,550000,580000,cái,500000,0,500000,0,500000,0,500000,0,500000,0
Quần Kaki GAP,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",430000018,430000018,Có,600000,660000,650000,850000,660000,670000,cái,600000,3,600000,0,600000,7,600000,0,600000,0
Quần tây nữ Uniqlo size S,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",430001,430001,Có,400000,440000,440000,550000,440000,450000,cái,400000,0,400000,0,400000,0,400000,0,400000,0
Quần tây nữ Uniqlo  size M,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4300011,4300011,Có,400000,430000,420000,550000,430000,440000,Cái,400000,0,400000,0,400000,0,400000,0,400000,0
Quần thể thao Nam ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",43000112,43000112,Có,485000,550000,550000,700000,550000,560000,Cái,485000,0,485000,0,485000,0,485000,0,485000,0
Quần tây nữ Uniqlo size L,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4300012,4300012,Có,400000,440000,440000,550000,440000,450000,Cái,400000,0,400000,0,400000,0,400000,0,400000,0
Quần tây nữ Uniqlo Size XL,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4300013,4300013,Có,400000,440000,440000,550000,440000,450000,Cái,400000,0,400000,0,400000,0,400000,0,400000,0
Quần tây nữ ống rộng uniqlo size S,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4300014,4300014,Có,350000,380000,380000,500000,380000,400000,Cái,350000,0,350000,0,350000,0,350000,0,350000,0
Quần tây nữ ống rộng uniqlo size M,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4300015,4300015,Có,350000,380000,380000,500000,380000,400000,Cái,350000,0,350000,0,350000,0,350000,0,350000,0
Quần tây nữ ống rộng uniqlo size L,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4300016,4300016,Có,350000,380000,380000,500000,380000,400000,Cái,350000,0,350000,0,350000,0,350000,0,350000,0
Quần tây nữ ống rộng uniqlo size XL,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4300017,4300017,Có,350000,380000,380000,500000,380000,400000,Cái,350000,0,350000,0,350000,0,350000,0,350000,0
Quần tây Nam Uniqlo (3990Y) Dry,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",430002,430002,Có,520000,550000,550000,750000,550000,570000,Cái,520000,66,520000,18,520000,14,520000,0,520000,0
Quần Tây nam Closhi ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",430003,430003,Có,400000,450000,450000,600000,450000,470000,Cái,400000,1,400000,0,400000,0,400000,0,400000,0
Vớ da nữ Pantovisco,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4470803,4470803,Có,55000,,,90000,,,Set,55000,1,55000,0,55000,0,55000,0,55000,0
Áo mưa bộ ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",450000080,450000080,Có,635000,680000,680000,850000,680000,700000,cái,635000,2,635000,0,635000,0,635000,0,635000,0
Khăn tắm 22cm x 100cm,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",450050,450050,Có,70000,80000,80000,100000,80000,85000,Cái,70000,25,70000,0,70000,0,70000,0,70000,0
Khăn tắm 20x80cm  ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",450051,450051,Có,55000,65000,65000,80000,65000,68000,cái,55000,0,55000,0,55000,0,55000,0,55000,0
Quần gen Lecien size S,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4500541,4500541,Có,140000,170000,170000,250000,170000,160000,Cái,140000,0,140000,0,140000,0,140000,0,140000,0
Quần gen Lecien size M,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4500542,4500542,Có,140000,155000,155000,250000,155000,160000,Cái,140000,4,140000,3,140000,0,140000,0,140000,0
Quần gen Lecien size L,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4500543,4500543,Có,140000,155000,155000,250000,155000,160000,Cái,140000,0,140000,0,140000,0,140000,0,140000,0
Quần gen Lecien size XL,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4500544,4500544,Có,140000,155000,155000,250000,155000,160000,Cái,140000,1,140000,0,140000,0,140000,0,140000,0
Chăn Nikke 140cmx200cm,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4511594041028,4511594041028,Có,2700,2870,2850,3400,2870,2890,Cái,2700,1,2700,0,2700,0,2700,0,2700,0
Chăn Nikke 180cmx210cm ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4511594041082,4511594041082,Có,1700,1900,1900,2500,1900,1950,Cái,1700,6,1700,0,1700,0,1700,0,1700,0
Khăn Organic cotton Imabari 70xm x130cm loại mỏng,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4512873041548,4512873041548,Có,240000,280000,280000,390000,280000,290000,Cái,240000,0,240000,0,240000,0,240000,0,240000,0
Khăn organic cotton Imabari 34x85cm,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4512873041593,4512873041593,Có,300000,350000,350000,450000,350000,360000,Set (3),300000,0,300000,0,300000,3,300000,0,300000,0
3165-Khăn vải làm tỉnh ngủ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4516825003165,4516825003165,Có,34650,38000,38000,45000,38000,40000,Cái(50),34650,1,34650,11,34650,0,34650,0,34650,0
Khăn tắm 28x100cm,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4517223555010,4517223555010,Có,60000,75000,75000,90000,75000,75000,Cái,60000,0,60000,0,60000,0,60000,0,60000,0
Quần tập Yoga - 0473v,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4521866820473,4521866820473,Có,120000,150000,150000,250000,150000,155000,Cái,120000,0,120000,0,120000,0,120000,0,120000,0
6090-Găng tay nữ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4535792266090,4535792266090,Có,28000,35000,35000,50000,35000,37000,Cái,28000,0,28000,0,28000,0,28000,0,28000,0
