Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
7801-Tã Goon quần L44 Gái,Sản phẩm thường,Tã sữa,4902011857801,4902011857801,Có,290000,310000,310000,380000,310000,320000,Gói(3),290000,0,290000,0,290000,0,290000,0,290000,0
7625-Sữa Bột Milo 240g,Sản phẩm thường,Tã sữa,4902201407625,4902201407625,Có,75000,85000,80000,120000,85000,88000,Gói (12),75000,0,75000,0,75000,0,75000,0,75000,0
1404-Sữa Meiji HP cho bé dị ứng đạm sữa bò,Sản phẩm thường,Tã sữa,4902705001404,4902705001404,Có,795000,840000,830000,1050,840000,850000,Lon,795000,8,795000,9,795000,8,795000,0,795000,0
Sữa meiji Thanh 1-3  loại 5 thanh,Sản phẩm thường,Tã sữa,4902705005587,4902705005587,Có,100000,110000,110000,140000,110000,115000,Hộp,100000,0,100000,0,100000,0,100000,0,100000,0
Sữa Meiji 1-3 (bé trên 1 tuổi),Sản phẩm thường,Tã sữa,4902705005600,4902705005600,Có,365000,375000,370000,450000,375000,380000,Hộp(8),365000,30,365000,21,365000,20,365000,0,365000,0
2454-Sữa lon Meiji 0-1 240ml,Sản phẩm thường,Tã sữa,4902705022454,4902705022454,Có,48000,52000,50000,30000,52000,53000,Lon(24),48000,0,48000,0,48000,0,48000,0,48000,0
Sữa Meiji Thanh 0-1 loại 5 thanh,Sản phẩm thường,Tã sữa,4902705116535,4902705116535,Có,100000,110000,110000,150000,110000,115000,Hộp,100000,0,100000,0,100000,0,100000,0,100000,0
Sữa Meiji 0-1 (bé dưới 1 tuổi),Sản phẩm thường,Tã sữa,4902705116542,4902705116542,Có,470000,480000,475000,550000,480000,485000,Hộp(8),470000,34,470000,31,470000,19,470000,0,470000,0
9109-Sữa Mori 0-1 hộp giấy ,Sản phẩm thường,Tã sữa,4902720109109,4902720109109,Có,530000,540000,540000,520000,540000,545000,Hộp,530000,0,530000,0,530000,0,530000,0,530000,0
9116-Sữa Morinaga 0-1 (bé dưới 1 tuổi),Sản phẩm thường,Tã sữa,4902720109116,4902720109116,Có,450000,465000,460000,510000,465000,470000,Hộp(8),450000,42,450000,23,450000,21,450000,0,450000,0
Morinaga 0-1 thanh,Sản phẩm thường,Tã sữa,4902720109154,4902720109154,Có,134000,140000,140000,160000,140000,145000,Hộp,134000,0,134000,0,134000,0,134000,0,134000,0
Sữa Morinaga Ekachan Cho Bé Thiếu Tháng 0-1,Sản phẩm thường,Tã sữa,4902720109178,4902720109178,Có,705000,725000,725000,780000,725000,730000,hộp,705000,0,705000,0,705000,0,705000,0,705000,0
Sữa Morinaga 1-3 hộp giấy,Sản phẩm thường,Tã sữa,4902720119764,4902720119764,Có,435000,430000,430000,250000,430000,435000,hộp ,435000,0,435000,0,435000,0,435000,0,435000,0
9801-Sữa Morinaga 1-3 (bé trên 1 tuổi),Sản phẩm thường,Tã sữa,4902720119801,4902720119801,Có,310000,325000,320000,400000,325000,330000,Hộp (8),310000,29,310000,36,310000,18,310000,0,310000,0
