Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Nescafe Brite 140g đỏ,Sản phẩm thường,Ăn Uống,4902201415934,4902201415934,Có,80000,90000,90000,130000,90000,95000,chai,80000,0,80000,0,80000,0,80000,0,80000,0
2765-Nescafe 200g,Sản phẩm thường,Ăn Uống,4902201422765,4902201422765,Có,210000,230000,230000,300000,230000,235000,Chai (12),210000,0,210000,0,210000,0,210000,0,210000,0
Nescafe ( block 6),Sản phẩm thường,Ăn Uống,4902201424196,4902201424196,Có,620000,650000,650000,850000,650000,670000,Hộp (6),620000,0,620000,0,620000,0,620000,0,620000,0
Nescafe Gold Blend vàng,Sản phẩm thường,Ăn Uống,4902201424882,4902201424882,Có,104000,115000,115000,150000,115000,120000,Hũ (6x6),104000,0,104000,0,104000,0,104000,0,104000,0
4899-Nescafe Excella đen ,Sản phẩm thường,Ăn Uống,4902201424899,4902201424899,Có,104000,120000,120000,150000,120000,125000,Hộp (8 x6),104000,0,104000,0,104000,0,104000,0,104000,0
Nescafe Gold Blend tím,Sản phẩm thường,Ăn Uống,4902201424929,4902201424929,Có,104000,115000,115000,150000,115000,120000,Hũ ( 6x6),104000,0,104000,0,104000,0,104000,0,104000,0
Nescafe Gold Blend cafe sữa,Sản phẩm thường,Ăn Uống,4902201424936,4902201424936,Có,104000,115000,115000,150000,115000,120000,Hũ (8x6),104000,0,104000,0,104000,0,104000,0,104000,0
Nescafe Presiden ,Sản phẩm thường,Ăn Uống,4902201425308,4902201425308,Có,104000,115000,115000,150000,115000,120000,Hũ ( 8x6),104000,0,104000,0,104000,0,104000,0,104000,0
Rong biển nấu canh 88g,Sản phẩm thường,Ăn Uống,4902378091740,4902378091740,Có,82000,90000,90000,100000,90000,90000,gói,82000,0,82000,0,82000,0,82000,0,82000,0
1566-Dầu oliu Bosco 228g,Sản phẩm thường,Ăn Uống,4902380111566,4902380111566,Có,110000,120000,120000,160000,120000,125000,chai(12),110000,0,110000,0,110000,0,110000,0,110000,0
Dầu ăn Nisshin,Sản phẩm thường,Ăn Uống,4902380135845,4902380135845,Có,72000,80000,80000,100000,80000,75000,chai,72000,0,72000,0,72000,0,72000,0,72000,0
8475- Dầu gạo Nissin 600g,Sản phẩm thường,Ăn Uống,4902380198475,4902380198475,Có,85000,95000,95000,125000,95000,100000,Chai(10),85000,0,85000,0,85000,0,85000,0,85000,0
Canh ăn liền,Sản phẩm thường,Ăn Uống,4902388003207,4902388003207,Có,55000,60000,60000,70000,60000,60000,gói,55000,0,55000,0,55000,0,55000,0,55000,0
Canh ăn liền,Sản phẩm thường,Ăn Uống,4902388004204,4902388004204,Có,55000,60000,60000,70000,60000,60000,gói,55000,0,55000,0,55000,0,55000,0,55000,0
9962-Súp miso tảo bẹ,Sản phẩm thường,Ăn Uống,4902388029962,4902388029962,Có,65000,70000,70000,90000,70000,75000,gói (40),65000,0,65000,0,65000,0,65000,0,65000,0
9979-Súp miso cá ngừ,Sản phẩm thường,Ăn Uống,4902388029979,4902388029979,Có,65000,70000,70000,90000,70000,75000,gói (40),65000,0,65000,0,65000,0,65000,0,65000,0
"6571-Gói rong biển, đậu hũ súp miso 100g",Sản phẩm thường,Ăn Uống,4902388036571,4902388036571,Có,110000,125000,120000,170000,125000,130000,bịch (20),110000,0,110000,0,110000,0,110000,0,110000,0
Rắc cơm,Sản phẩm thường,Ăn Uống,4902388037103,4902388037103,Có,46000,55000,55000,65000,55000,55000,gói,46000,0,46000,0,46000,0,46000,0,46000,0
7033-Gia vị rắc cơm chiên vị cua,Sản phẩm thường,Ăn Uống,4902388057033,4902388057033,Có,25000,28000,28000,40000,28000,30000,Gói,25000,0,25000,0,25000,0,25000,0,25000,0
7040-Gia vị rắc cơm chiên vị thịt heo,Sản phẩm thường,Ăn Uống,4902388057040,4902388057040,Có,25000,28000,28000,40000,28000,30000,Gói,25000,0,25000,0,25000,0,25000,0,25000,0
Mật ong sữa ong chúa,Sản phẩm thường,Ăn Uống,4902395262727,4902395262727,Có,110000,110000,110000,160000,110000,115000,chai (10),110000,0,110000,0,110000,0,110000,0,110000,0
4421-Miso đậu hũ + trứng rong biển 12 gói,Sản phẩm thường,Ăn Uống,4902401504421,4902401504421,Có,55000,65000,65000,95000,65000,70000,Gói(10),55000,0,55000,0,55000,0,55000,0,55000,0
4438-Miso vị cá 12 gói,Sản phẩm thường,Ăn Uống,4902401504438,4902401504438,Có,55000,65000,65000,95000,65000,68000,gói(10),55000,0,55000,0,55000,0,55000,0,55000,0
Sup miso hải sản Shijimi 12 gói,Sản phẩm thường,Ăn Uống,4902401507606,4902401507606,Có,55000,70000,70000,95000,70000,75000,Gói(10),55000,0,55000,0,55000,0,55000,0,55000,0
Súp Miso hến 12 gói,Sản phẩm thường,Ăn Uống,4902401507613,4902401507613,Có,45000,55000,55000,70000,55000,55000,gói,45000,0,45000,0,45000,0,45000,0,45000,0
Bột tỏi dạng gói Galic,Sản phẩm thường,Ăn Uống,4902402057162,4902402057162,Có,35000,40000,40000,50000,40000,40000,gói,35000,0,35000,0,35000,0,35000,0,35000,0
Mù tạt House,Sản phẩm thường,Ăn Uống,4902402652770,4902402652770,Có,35000,40000,40000,45000,40000,45000,hộp,35000,0,35000,0,35000,0,35000,0,35000,0
Cà ri táo  + bò,Sản phẩm thường,Ăn Uống,4902402853863,4902402853863,Có,55000,60000,60000,70000,60000,60000,hộp,55000,0,55000,0,55000,0,55000,0,55000,0
3870-Viên nêm vị Táo mật ong House No.2,Sản phẩm thường,Ăn Uống,4902402853870,4902402853870,Có,42000,50000,45000,70000,50000,55000,Hộp(120),42000,0,42000,0,42000,0,42000,0,42000,0
3894-Viên nêm Cà ri táo mật ong House 1,Sản phẩm thường,Ăn Uống,4902402853894,4902402853894,Có,42000,50000,45000,70000,50000,55000,Hộp(120),42000,0,42000,0,42000,0,42000,0,42000,0
4518-Viên nêm Cà Ri Java Curry No4  185g,Sản phẩm thường,Ăn Uống,4902402854518,4902402854518,Có,100000,110000,110000,200000,110000,115000,Hộp,100000,0,100000,0,100000,0,100000,0,100000,0
4532-Viên nêm Cà Ri Java Curry No5 185g,Sản phẩm thường,Ăn Uống,4902402854532,4902402854532,Có,100000,110000,110000,120000,110000,115000,Hộp,100000,0,100000,0,100000,0,100000,0,100000,0
Snack hình nón phù thủy ,Sản phẩm thường,Ăn Uống,4902402877777,4902402877777,Có,32000,40000,40000,55000,40000,40000,Hộp ( 10x2),32000,0,32000,0,32000,0,32000,0,32000,0
