Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Mặt nạ Kose 5M Tím trắng da,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710383935,4971710383935,Có,105000,115000,115000,160000,115000,120000,Hộp,105000,0,105000,0,105000,0,105000,0,105000,0
Kem dưỡng da Grace one Kose 50+,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710384000,4971710384000,Có,220000,240000,235000,300000,240000,245000,Hộp,220000,0,220000,0,220000,0,220000,0,220000,0
4765-SRM Kose trắng da 220g,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710384765,4971710384765,Có,82000,90000,87000,150000,90000,92000,tuýp,82000,23,82000,20,82000,0,82000,0,82000,0
Sữa rửa mặt trị mụn Kose 220g,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710384772,4971710384772,Có,90000,100000,100000,150000,100000,100000,tuýp,90000,0,90000,0,90000,0,90000,0,90000,0
SRM Kose Collagen 220g,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710384789,4971710384789,Có,85000,95000,95000,150000,95000,100000,tuýp,85000,0,85000,0,85000,0,85000,0,85000,0
Kem dưỡng Kose white 100g,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710384796,4971710384796,Có,220000,230000,230000,320000,230000,240000,Hộp,220000,0,220000,0,220000,1,220000,0,220000,0
Mặt nạ Kose 30 miếng ,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710385663,4971710385663,Có,255000,240000,240000,300000,240000,220000,hộp,255000,0,255000,0,255000,0,255000,0,255000,0
6844-Kem dưỡng Kose SPF 50++ 90g,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710386844,4971710386844,Có,220000,240000,235000,350000,240000,245000,Hộp,220000,0,220000,0,220000,1,220000,0,220000,0
Mặt nạ Kose Premium 4M xanh cho da nhờn,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710387278,4971710387278,Có,120000,135000,130000,200000,135000,140000,Hộp,120000,0,120000,0,120000,0,120000,0,120000,0
Mặt nạ Kose Premium 4M đỏ cho da khô,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710387308,4971710387308,Có,120000,135000,130000,200000,135000,140000,Hộp,120000,0,120000,0,120000,0,120000,0,120000,0
7544-Mặt nạ mắt Kose Q10 5 miếng,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710387544,4971710387544,Có,148515,150000,150000,200000,150000,135000,Hộp,148515,0,148515,0,148515,0,148515,0,148515,0
