Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Bình Themos 2 chiều 0.6l,Sản phẩm thường,Hàng gia dụng nhóm 1,0506,0506,Có,600000,630000,630000,900000,630000,650000,bình,600000,0,600000,0,600000,0,600000,0,600000,0
Bình Themos 2 chiều 0.8L,Sản phẩm thường,Hàng gia dụng nhóm 1,0507,0507,Có,450000,520000,520000,950000,520000,550000,Cái,450000,0,450000,0,450000,0,450000,0,450000,0
Bình giữ nhiệt Thermos 2 chiều 1L,Sản phẩm thường,Hàng gia dụng nhóm 1,0508,0508,Có,730000,790000,780000,1000,790000,800000,chai,730000,0,730000,5,730000,0,730000,0,730000,0
Bộ nồi Circulon 13 món chống dính màu đen ,Sản phẩm thường,Hàng gia dụng nhóm 1,051153892912,051153892912,Có,5700,6000,6000,6800,6000,6200,cái ,5700,0,5700,0,5700,0,5700,0,5700,0
Bộ nồi Circulon 13 món màu đồng,Sản phẩm thường,Hàng gia dụng nhóm 1,051153892950,051153892950,Có,6200,6400,6350,7200,6400,6450,Bộ,6200,0,6200,0,6200,0,6200,0,6200,0
Cặp chống gù lưng ,Sản phẩm thường,Hàng gia dụng nhóm 1,055,055,Có,1350,1700,1700,2000,1700,1800,cái,1350,0,1350,2,1350,0,1350,0,1350,0
Cặp chống gù lưng hiệu Randoseru,Sản phẩm thường,Hàng gia dụng nhóm 1,0551,0551,Có,4000,5000,5000,5500,5000,5100,Cái,4000,2,4000,3,4000,1,4000,0,4000,0
0552v-Cặp chống gù lưng Randoseru,Sản phẩm thường,Hàng gia dụng nhóm 1,0552,0552,Có,2800,3300,3200,4500,3300,3350,cái,2800,10,2800,2,2800,9,2800,0,2800,0
Set chậu rửa mặt TOTO LDWB060 ,Sản phẩm thường,Hàng gia dụng nhóm 1,06110051002,06110051002,Có,22000,23700,23700,27500,23700,24000,Cái,22000,0,22000,0,22000,0,22000,0,22000,0
Set chậu rửa mặt TOTO 90cm ,Sản phẩm thường,Hàng gia dụng nhóm 1,06110051003,06110051003,Có,28000,30000,30000,32000,30000,30200,Cái,28000,0,28000,0,28000,0,28000,0,28000,0
Bộ tô thủy tinh set 4,Sản phẩm thường,Hàng gia dụng nhóm 1,063236017136,063236017136,Có,850000,950000,950000,1150,950000,980000,Set,850000,0,850000,0,850000,0,850000,0,850000,0
Loa di động EXBLD810  100W,Sản phẩm thường,Hàng gia dụng nhóm 1,0819127012557,0819127012557,Có,5500,6500,6500,8000,6500,6600,Cái,5500,1,5500,0,5500,0,5500,0,5500,0
Bộ dao Kai 6 món,Sản phẩm thường,Hàng gia dụng nhóm 1,087171033174,087171033174,Có,850000,950000,950000,1200,950000,950000,cái,850000,0,850000,0,850000,0,850000,0,850000,0
