Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Mì Udon đông lạnh,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),4903133719701,4903133719701,Có,100000,110000,110000,130000,110000,115000,Gói,100000,0,100000,0,100000,0,100000,0,100000,0
2258-Nho VIP  Nhật tem vàng,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),4908380452258,4908380452258,Có,940000,800000,800000,1250,800000,785000,kg,940000,0,940000,0,940000,0,940000,0,940000,0
4849Y-Nho tím Nagano ,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),4908380454849,4908380454849,Có,470000,550000,550000,350000,550000,600000,Gói,470000,0,470000,0,470000,0,470000,0,470000,0
0045-Hồng hộp một nắng Nhật 180g,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),4908603300045,4908603300045,Có,217000,230000,230000,300000,230000,235000,Hộp,217000,0,217000,0,217000,0,217000,0,217000,0
Xoài  đỏ Nhật bản ,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),4908851401082,4908851401082,Có,734000,800000,800000,900000,800000,820000,Trái,734000,0,734000,0,734000,0,734000,0,734000,0
6288-Kem Lotte Coolish hương Vani,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),49386288,49386288,Có,24000,25000,25000,30000,25000,26000,Gói(24),24000,5,24000,12,24000,24,24000,0,24000,0
Kem lotte 9v mochi Yukimi Daifuku,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),4953823080543,4953823080543,Có,64000,70000,70000,85000,70000,75000,Hộp(8),64000,24,64000,19,64000,33,64000,0,64000,0
1274-Kem lotte Monaoh vị Vani 160ml,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),4953823081274,4953823081274,Có,26400,30000,29000,40000,30000,31000,Gói(20),26400,79,26400,28,26400,25,26400,0,26400,0
Kem Monao Matcha,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),4953823092478,4953823092478,Có,33000,35000,34000,47000,35000,36000,Cây (20),33000,0,33000,0,33000,14,33000,0,33000,0
Kem Lotte Good Price 4 vị,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),4953823101682,4953823101682,Có,9600,30000,30000,15000,30000,30000,Cây(32),9600,45,9600,14,9600,29,9600,0,9600,0
