Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
2130-KCN Skin Aqua Tone Up UV Essence mint 80g,Sản phẩm thường,KCN - Nước hoa,4987241162130,4987241162130,Có,150000,175000,160000,250000,175000,180000,tuýp,150000,13,150000,4,150000,7,150000,0,150000,0
2413-CC sugao trắng nắp hồng tone 2,Sản phẩm thường,KCN - Nước hoa,4987241162413,4987241162413,Có,190000,205000,200000,280000,205000,210000,Tuýp,190000,8,190000,0,190000,0,190000,0,190000,0
2468-CC Sugao xám nắp hồng tone tự nhiên,Sản phẩm thường,KCN - Nước hoa,4987241162468,4987241162468,Có,190000,205000,200000,280000,205000,210000,Tuýp,190000,7,190000,0,190000,0,190000,0,190000,0
4905-KCN Skin Aqua Milk 40ml,Sản phẩm thường,KCN - Nước hoa,4987241164905,4987241164905,Có,127000,150000,145000,220000,150000,155000,Tuýp,127000,8,127000,8,127000,7,127000,0,127000,0
Kem chống nắng Shiseido Sunmedic 50ml EX,Sản phẩm thường,KCN - Nước hoa,4987415057811,4987415057811,Có,260000,275000,275000,350000,275000,285000,Chai,260000,17,260000,1,260000,4,260000,0,260000,0
Kem chống nắng Shiseido Sunmedic 50ml EX,Sản phẩm thường,KCN - Nước hoa,4987415089409,4987415089409,Có,220000,275000,275000,350000,275000,285000,Chai,220000,3,220000,4,220000,5,220000,0,220000,0
Kem chống nắng trắng da Shiseido S,Sản phẩm thường,KCN - Nước hoa,4987415272504,4987415272504,Có,265000,290000,290000,400000,290000,300000,tuýp,265000,0,265000,0,265000,0,265000,0,265000,0
BB shiseodo 50++,Sản phẩm thường,KCN - Nước hoa,4987415311722,4987415311722,Có,240000,290000,290000,400000,290000,290000,tuýp,240000,0,240000,0,240000,0,240000,0,240000,0
Chống nắng SHiseido 50+,Sản phẩm thường,KCN - Nước hoa,4987415671604,4987415671604,Có,252000,270000,270000,350000,270000,275000,tuýp,252000,2,252000,2,252000,0,252000,0,252000,0
Kem chống nắng Shiseido,Sản phẩm thường,KCN - Nước hoa,4987415673707,4987415673707,Có,218000,370000,370000,400000,370000,410000,tuýp,218000,0,218000,0,218000,0,218000,0,218000,0
Kem chống nắng shiseido Sunmedic trắng,Sản phẩm thường,KCN - Nước hoa,4987415673714,4987415673714,Có,250000,300000,300000,400000,300000,270000,tuýp,250000,0,250000,0,250000,0,250000,0,250000,0
Kem chống nắng Sunmedic SSD,Sản phẩm thường,KCN - Nước hoa,4987415694511,4987415694511,Có,250000,290000,290000,400000,290000,300000,set,250000,0,250000,0,250000,0,250000,0,250000,0
Kem chống nắng SUnmedic ssd,Sản phẩm thường,KCN - Nước hoa,4987415694528,4987415694528,Có,250000,290000,290000,400000,290000,300000,Hộp,250000,0,250000,0,250000,0,250000,0,250000,0
Kem chống nắng Sunmedic BB SPF 50++ 30ml,Sản phẩm thường,KCN - Nước hoa,4987415957715,4987415957715,Có,250000,270000,270000,350000,270000,275000,Chai,250000,2,250000,0,250000,0,250000,0,250000,0
